Time Bucket (America/Edmonton),Jasper Ave -Circuit_1 (kWatts),Jasper Ave -Circuit_2 (kWatts),Jasper Ave -Circuit_3 (kWatts),Jasper Ave -Circuit_4 (kWatts),Jasper Ave -Circuit_5 (kWatts),Jasper Ave -Circuit_10 (kWatts),Jasper Ave -Circuit_11 (kWatts)
01/25/2023 22:04:00,0.0068,0.0000,0.0115,0.0000,0.1697,0.0000,0.0000
01/25/2023 22:05:00,0.0068,0.0000,0.0116,0.0000,0.1659,0.0000,0.0000
01/25/2023 22:06:00,0.0068,0.0000,0.0117,0.0000,0.1631,0.0000,0.0000
01/25/2023 22:07:00,0.0069,0.0000,0.0116,0.0000,0.1615,0.0000,0.0000
01/25/2023 22:08:00,0.0071,0.0000,0.0115,0.0000,0.1716,0.0000,0.0000
01/25/2023 22:09:00,0.0068,0.0000,0.0114,0.0000,0.2274,0.0000,0.0000
01/25/2023 22:10:00,0.0068,0.0000,0.0115,0.0000,0.2226,0.0000,0.0000
01/25/2023 22:11:00,0.0068,0.0000,0.0115,0.0000,0.2252,0.0000,0.0000
01/25/2023 22:12:00,0.0067,0.0000,0.0116,0.0000,0.2235,0.0000,0.0000
01/25/2023 22:13:00,0.0068,0.0000,0.0114,0.0000,0.2242,0.0000,0.0000
01/25/2023 22:14:00,0.0068,0.0000,0.0117,0.0000,0.2247,0.0000,0.0000
01/25/2023 22:15:00,0.0067,0.0000,0.0116,0.0000,0.2229,0.0000,0.0000
01/25/2023 22:16:00,0.0068,0.0000,0.0117,0.0000,0.2231,0.0000,0.0000
01/25/2023 22:17:00,0.0069,0.0000,0.0114,0.0000,0.2208,0.0000,0.0000
01/25/2023 22:18:00,0.0068,0.0000,0.0116,0.0000,0.2144,0.0000,0.0000
01/25/2023 22:19:00,0.0068,0.0000,0.0116,0.0000,0.2190,0.0000,0.0000
01/25/2023 22:20:00,0.0067,0.0000,0.0117,0.0000,0.2119,0.0000,0.0000
01/25/2023 22:21:00,0.0069,0.0000,0.0115,0.0001,0.2199,0.0000,0.0000
01/25/2023 22:22:00,0.0070,0.0000,0.0115,0.0000,0.2136,0.0000,0.0000
01/25/2023 22:23:00,0.0070,0.0000,0.0116,0.0000,0.2107,0.0000,0.0000
01/25/2023 22:24:00,0.0070,0.0000,0.0115,0.0000,0.2106,0.0000,0.0000
01/25/2023 22:25:00,0.0069,0.0000,0.0116,0.0000,0.2108,0.0000,0.0000
01/25/2023 22:26:00,0.0068,0.0000,0.0116,0.0000,0.2185,0.0000,0.0000
01/25/2023 22:27:00,0.0068,0.0000,0.0117,0.0000,0.2218,0.0000,0.0000
01/25/2023 22:28:00,0.0068,0.0000,0.0117,0.0000,0.2198,0.0000,0.0000
01/25/2023 22:29:00,0.0068,0.0000,0.0115,0.0000,0.2269,0.0000,0.0000
01/25/2023 22:30:00,0.0069,0.0000,0.0114,0.0000,0.2282,0.0000,0.0000
01/25/2023 22:31:00,0.0069,0.0000,0.0115,0.0000,0.2284,0.0000,0.0000
01/25/2023 22:32:00,0.0069,0.0000,0.0117,0.0000,0.2296,0.0000,0.0000
01/25/2023 22:33:00,0.0069,0.0000,0.0114,0.0000,0.2301,0.0000,0.0000
01/25/2023 22:34:00,0.0068,0.0000,0.0115,0.0001,0.2282,0.0000,0.0000
01/25/2023 22:35:00,0.0068,0.0000,0.0115,0.0000,0.2280,0.0000,0.0000
01/25/2023 22:36:00,0.0069,0.0000,0.0115,0.0000,0.2114,0.0000,0.0000
01/25/2023 22:37:00,0.0068,0.0000,0.0118,0.0000,0.2084,0.0000,0.0000
